"city","year","month","time","long","lat","site","Wind Speed - Resultant","Outdoor Temperature","Barometric pressure","Ozone"
"Bakersfield",2013,6,162,-119.041209,35.356092,"Bakersfield-California",4.6830556,NA,NA,0.0558069
"Bakersfield",2013,7,163,-119.041209,35.356092,"Bakersfield-California",5.119086,NA,NA,0.0384086129032258
"Bakersfield",2013,8,164,-119.041209,35.356092,"Bakersfield-California",5.80618270967742,NA,NA,0.0342325161290323
"Bakersfield",2013,9,165,-119.041209,35.356092,"Bakersfield-California",7.03043866666667,NA,NA,0.0458027666666667
"Bakersfield",2013,10,166,-119.041209,35.356092,"Bakersfield-California",6.57547036363636,NA,NA,0.0514071363636364
"Bakersfield",2013,11,167,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2013,12,168,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0341563333333333
"Bakersfield",2014,1,169,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0376465161290323
"Bakersfield",2014,2,170,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0411517857142857
"Bakersfield",2014,3,171,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2014,4,172,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0349524137931035
"Bakersfield",2014,5,173,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0396612903225806
"Bakersfield",2014,6,174,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0435112666666667
"Bakersfield",2014,7,175,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2014,8,176,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,0.0405792903225806
"Bakersfield",2014,9,177,-119.041209,35.356092,"Bakersfield-California",6.42513886666667,NA,NA,0.0541415517241379
"Bakersfield",2014,10,178,-119.041209,35.356092,"Bakersfield-California",8.30389780645161,NA,NA,0.0556604838709677
"Bakersfield",2014,11,179,-119.041209,35.356092,"Bakersfield-California",4.02780220689655,NA,NA,0.0589914333333333
"Bakersfield",2014,12,180,-119.041209,35.356092,"Bakersfield-California",13.0267472903226,NA,NA,0.0227199583333333
"Bakersfield",2015,1,181,-119.041209,35.356092,"Bakersfield-California",4.19749103225806,NA,NA,0.0343515161290323
"Bakersfield",2015,2,182,-119.041209,35.356092,"Bakersfield-California",6.85049825,NA,NA,0.0449401785714286
"Bakersfield",2015,3,183,-119.041209,35.356092,"Bakersfield-California",7.37855141935484,NA,NA,0.0374854193548387
"Bakersfield",2015,4,184,-119.041209,35.356092,"Bakersfield-California",6.67358333333333,NA,NA,0.0375652666666667
"Bakersfield",2015,5,185,-119.041209,35.356092,"Bakersfield-California",8.65483874193548,NA,NA,0.0419482580645161
"Bakersfield",2015,6,186,-119.041209,35.356092,"Bakersfield-California",6.00694446666667,NA,NA,0.0425999333333333
"Bakersfield",2015,7,187,-119.041209,35.356092,"Bakersfield-California",9.68635751612903,NA,NA,0.0463898387096774
"Bakersfield",2015,8,188,-119.041209,35.356092,"Bakersfield-California",3.91206406451613,NA,NA,0.0429724516129032
"Bakersfield",2015,9,189,-119.041209,35.356092,"Bakersfield-California",7.45875003333333,NA,NA,0.0590916
"Bakersfield",2015,10,190,-119.041209,35.356092,"Bakersfield-California",7.70931083870968,NA,NA,0.0596728709677419
"Bakersfield",2015,11,191,-119.041209,35.356092,"Bakersfield-California",8.55013893333333,NA,NA,0.0394514666666667
"Bakersfield",2015,12,192,-119.041209,35.356092,"Bakersfield-California",5.83803764516129,NA,NA,0.0233438064516129
"Bakersfield",2016,1,193,-119.041209,35.356092,"Bakersfield-California",9.34368280645161,NA,NA,0.0247718709677419
"Bakersfield",2016,2,194,-119.041209,35.356092,"Bakersfield-California",8.24806372413793,NA,NA,0.0324641379310345
"Bakersfield",2016,3,195,-119.041209,35.356092,"Bakersfield-California",7.23551077419355,NA,NA,0.0283352580645161
"Bakersfield",2016,4,196,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,5,197,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,6,198,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,7,199,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,8,200,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,9,201,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,10,202,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,11,203,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Bakersfield",2016,12,204,-119.041209,35.356092,"Bakersfield-California",NA,NA,NA,NA
"Long Beach",2006,1,73,-118.18921,33.82376,"Long Beach (North)",7.85470432258065,31.2016129032258,NA,0.0281815483870968
"Long Beach",2006,2,74,-118.18921,33.82376,"Long Beach (North)",6.29821428571429,32.9062501428571,NA,0.0274345555555556
"Long Beach",2006,3,75,-118.18921,33.82376,"Long Beach (North)",7.99180109677419,27.5860214516129,NA,0.0198239677419355
"Long Beach",2006,4,76,-118.18921,33.82376,"Long Beach (North)",10.9615277666667,21.6499999666667,NA,0.0284180333333333
"Long Beach",2006,5,77,-118.18921,33.82376,"Long Beach (North)",NA,18.8669355483871,NA,0.0235866774193548
"Long Beach",2006,6,78,-118.18921,33.82376,"Long Beach (North)",6.54388886666667,24.1458333333333,NA,0.0285055333333333
"Long Beach",2006,7,79,-118.18921,33.82376,"Long Beach (North)",5.0067205483871,22.5819891935484,NA,0.0372137096774194
"Long Beach",2006,8,80,-118.18921,33.82376,"Long Beach (North)",6.05913983870968,18.5094086129032,NA,0.0218185806451613
"Long Beach",2006,9,81,-118.18921,33.82376,"Long Beach (North)",6.1894445,24.4680555,NA,0.0360749666666667
"Long Beach",2006,10,82,-118.18921,33.82376,"Long Beach (North)",5.50510748387097,23.5604838387097,NA,0.0261357419354839
"Long Beach",2006,11,83,-118.18921,33.82376,"Long Beach (North)",5.7286111,32.5680555666667,NA,0.0263292
"Long Beach",2006,12,84,-118.18921,33.82376,"Long Beach (North)",9.01739248387097,25.1922043548387,NA,0.0248418387096774
"Long Beach",2007,1,85,-118.18921,33.82376,"Long Beach (North)",7.95672048387097,32.1975806129032,NA,0.0229972903225806
"Long Beach",2007,2,86,-118.18921,33.82376,"Long Beach (North)",7.40924739285714,30.7336309642857,NA,0.02395025
"Long Beach",2007,3,87,-118.18921,33.82376,"Long Beach (North)",10.141129,33.5645162258065,NA,0.032753064516129
"Long Beach",2007,4,88,-118.18921,33.82376,"Long Beach (North)",13.4329166666667,18.9722222333333,NA,0.0197911333333333
"Long Beach",2007,5,89,-118.18921,33.82376,"Long Beach (North)",8.2396505483871,33.0913978709677,NA,0.0292325483870968
"Long Beach",2007,6,90,-118.18921,33.82376,"Long Beach (North)",6.7148233,17.0027777666667,NA,0.0215661
"Long Beach",2007,7,91,-118.18921,33.82376,"Long Beach (North)",5.07832461290323,18.6814515483871,NA,0.0249314193548387
"Long Beach",2007,8,92,-118.18921,33.82376,"Long Beach (North)",5.12606522580645,20.133064483871,NA,0.0275325483870968
